Round,Winner,Loser,Games,YR
Western Conference Semifinals,Los Angeles Lakers,Dallas Mavericks,5,1984
Western Conference Semifinals,Phoenix Suns,Utah Jazz,6,1984
Eastern Conference First Round,Boston Celtics,Washington Bullets,4,1984
Eastern Conference First Round,Milwaukee Bucks,Atlanta Hawks,5,1984
Eastern Conference First Round,New Jersey Nets,Philadelphia 76ers,5,1984
Eastern Conference First Round,New York Knicks,Detroit Pistons,5,1984
Western Conference First Round,Dallas Mavericks,Seattle SuperSonics,5,1984
Western Conference First Round,Los Angeles Lakers,Kansas City Kings,3,1984
Western Conference First Round,Phoenix Suns,Portland Trail Blazers,5,1984
Western Conference First Round,Utah Jazz,Denver Nuggets,5,1984
Finals,Chicago Bulls,Los Angeles Lakers,5,1991
Eastern Conference Finals,Chicago Bulls,Detroit Pistons,4,1991
Western Conference Finals,Los Angeles Lakers,Portland Trail Blazers,6,1991
Eastern Conference Semifinals,Chicago Bulls,Philadelphia 76ers,5,1991
Eastern Conference Semifinals,Detroit Pistons,Boston Celtics,6,1991
Western Conference Semifinals,Los Angeles Lakers,Golden State Warriors,5,1991
Western Conference Semifinals,Portland Trail Blazers,Utah Jazz,5,1991
Eastern Conference First Round,Boston Celtics,Indiana Pacers,5,1991
Eastern Conference First Round,Chicago Bulls,New York Knicks,3,1991
Eastern Conference First Round,Detroit Pistons,Atlanta Hawks,5,1991
Eastern Conference First Round,Philadelphia 76ers,Milwaukee Bucks,3,1991
Western Conference First Round,Golden State Warriors,San Antonio Spurs,4,1991
Western Conference First Round,Los Angeles Lakers,Houston Rockets,3,1991
Western Conference First Round,Portland Trail Blazers,Seattle SuperSonics,5,1991
Western Conference First Round,Utah Jazz,Phoenix Suns,4,1991
Finals,San Antonio Spurs,New York Knicks,5,1999
Eastern Conference Finals,New York Knicks,Indiana Pacers,6,1999
Western Conference Finals,San Antonio Spurs,Portland Trail Blazers,4,1999
Eastern Conference Semifinals,Indiana Pacers,Philadelphia 76ers,4,1999
Eastern Conference Semifinals,New York Knicks,Atlanta Hawks,4,1999
Western Conference Semifinals,Portland Trail Blazers,Utah Jazz,6,1999
Western Conference Semifinals,San Antonio Spurs,Los Angeles Lakers,4,1999
Eastern Conference First Round,Atlanta Hawks,Detroit Pistons,5,1999
Eastern Conference First Round,Indiana Pacers,Milwaukee Bucks,3,1999
Eastern Conference First Round,New York Knicks,Miami Heat,5,1999
Eastern Conference First Round,Philadelphia 76ers,Orlando Magic,4,1999
Western Conference First Round,Los Angeles Lakers,Houston Rockets,4,1999
Western Conference First Round,Portland Trail Blazers,Phoenix Suns,3,1999
Western Conference First Round,San Antonio Spurs,Minnesota Timberwolves,4,1999
Western Conference First Round,Utah Jazz,Sacramento Kings,5,1999
Finals,Chicago Bulls,Utah Jazz,6,1998
Eastern Conference Finals,Chicago Bulls,Indiana Pacers,7,1998
Western Conference Finals,Utah Jazz,Los Angeles Lakers,4,1998
Eastern Conference Semifinals,Chicago Bulls,Charlotte Hornets,5,1998
Eastern Conference Semifinals,Indiana Pacers,New York Knicks,5,1998
Western Conference Semifinals,Los Angeles Lakers,Seattle SuperSonics,5,1998
Western Conference Semifinals,Utah Jazz,San Antonio Spurs,5,1998
Eastern Conference First Round,Charlotte Hornets,Atlanta Hawks,4,1998
Eastern Conference First Round,Chicago Bulls,New Jersey Nets,3,1998
Eastern Conference First Round,Indiana Pacers,Cleveland Cavaliers,4,1998
Eastern Conference First Round,New York Knicks,Miami Heat,5,1998
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,4,1998
