Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YR
25,New Orleans/Oklahoma City Hornets,82,19880,39.8,89.3,0.445,6.1,16.8,0.36200000000000004,33.7,72.5,0.46399999999999997,19.2,26.0,0.74,13.7,33.6,47.3,20.6,7.0,4.6,15.9,21.7,104.8,2007
26,Philadelphia 76ers,82,19880,39.0,85.3,0.45799999999999996,3.8,11.0,0.345,35.2,74.3,0.474,21.8,28.4,0.767,12.0,31.3,43.3,22.2,7.9,5.2,16.7,22.2,103.6,2007
27,Orlando Magic,82,19780,38.8,82.2,0.47200000000000003,4.6,13.0,0.35600000000000004,34.2,69.2,0.494,22.7,32.3,0.7020000000000001,12.4,32.7,45.1,20.6,7.6,5.6,18.8,25.7,104.9,2007
28,Miami Heat,82,19855,39.2,84.5,0.46399999999999997,7.1,20.7,0.34299999999999997,32.1,63.8,0.503,18.7,27.1,0.69,11.0,33.9,44.9,22.6,7.6,5.9,16.1,23.5,104.3,2007
29,Portland Trail Blazers,82,19955,39.1,87.0,0.45,5.8,16.8,0.34600000000000003,33.3,70.3,0.474,21.0,27.3,0.769,12.6,31.3,43.9,20.6,7.6,5.2,16.8,26.3,105.1,2007
30,Atlanta Hawks,82,19880,38.0,85.5,0.444,4.6,13.9,0.32899999999999996,33.4,71.6,0.467,22.5,29.6,0.7609999999999999,13.1,31.0,44.1,21.1,8.2,6.0,17.5,26.4,103.0,2007
1,Denver Nuggets,66,16040,40.9,85.9,0.47600000000000003,6.9,20.8,0.332,33.9,65.0,0.522,20.5,28.0,0.735,11.7,33.4,45.2,25.1,8.6,5.2,16.1,20.6,109.2,2012
2,San Antonio Spurs,66,15940,42.3,88.5,0.478,8.9,22.8,0.39299999999999996,33.4,65.8,0.507,17.3,23.1,0.748,11.1,34.9,46.0,24.8,7.9,4.7,14.5,18.5,110.9,2012
3,Oklahoma City Thunder,66,15990,39.7,84.4,0.47100000000000003,7.6,21.3,0.358,32.1,63.1,0.509,22.7,28.1,0.8059999999999999,11.7,34.8,46.5,19.8,8.0,8.7,17.4,21.8,109.8,2012
4,Utah Jazz,66,16165,41.0,89.8,0.456,4.4,13.7,0.32299999999999995,36.5,76.1,0.48,20.4,27.1,0.754,14.0,33.4,47.4,23.4,8.8,6.3,15.2,23.4,106.8,2012
5,Milwaukee Bucks,66,15865,40.4,91.2,0.44299999999999995,7.0,20.4,0.345,33.3,70.8,0.47100000000000003,17.7,22.8,0.774,13.2,32.0,45.2,25.0,8.8,5.4,15.0,20.5,105.5,2012
6,Sacramento Kings,66,15915,39.7,91.0,0.436,6.5,20.7,0.316,33.1,70.3,0.47100000000000003,18.0,24.4,0.736,14.0,31.0,45.1,20.2,8.9,5.1,15.2,20.5,103.8,2012
7,Miami Heat,66,16040,40.1,85.5,0.469,6.1,16.9,0.359,34.1,68.6,0.496,20.3,26.2,0.775,11.3,33.8,45.0,21.6,9.6,5.8,16.4,21.0,106.6,2012
8,Phoenix Suns,66,15840,40.8,89.1,0.45799999999999996,7.3,21.2,0.34299999999999997,33.6,67.9,0.494,17.3,22.9,0.757,11.7,33.3,45.0,24.3,7.1,6.0,15.2,20.2,106.2,2012
9,Houston Rockets,66,16065,40.6,90.3,0.449,7.8,21.7,0.359,32.8,68.6,0.47700000000000004,16.6,21.2,0.782,12.5,32.8,45.3,22.9,8.1,5.2,15.6,21.9,105.5,2012
10,Minnesota Timberwolves,66,15940,38.0,87.7,0.433,7.6,23.0,0.332,30.4,64.7,0.469,20.7,26.8,0.7709999999999999,12.9,33.7,46.6,20.8,7.0,4.7,16.2,19.6,104.3,2012
11,New York Knicks,66,15940,38.2,86.2,0.44299999999999995,8.4,24.9,0.336,29.9,61.4,0.48700000000000004,19.6,26.4,0.741,12.0,32.5,44.5,21.5,10.1,4.5,17.1,22.5,104.4,2012
12,Golden State Warriors,66,15915,40.6,88.9,0.457,8.6,22.1,0.38799999999999996,32.1,66.8,0.48,15.5,20.2,0.77,10.5,31.8,42.2,24.0,8.6,5.9,14.9,23.0,105.4,2012
13,Indiana Pacers,66,15990,38.9,88.9,0.43799999999999994,6.5,17.6,0.368,32.5,71.3,0.455,22.3,28.5,0.782,13.7,34.2,47.9,20.3,8.7,5.9,15.3,23.7,106.7,2012
14,Los Angeles Clippers,66,15965,41.1,90.5,0.455,8.7,24.3,0.35700000000000004,32.5,66.2,0.49,17.6,25.9,0.68,13.5,32.8,46.2,23.3,9.4,5.3,14.8,23.6,108.5,2012
15,Los Angeles Lakers,66,16065,40.1,87.8,0.457,6.0,18.3,0.326,34.1,69.4,0.491,19.8,26.2,0.7559999999999999,13.2,37.1,50.3,24.5,6.4,5.8,16.5,18.3,106.0,2012
16,Portland Trail Blazers,66,15965,39.6,89.3,0.44299999999999995,7.9,22.8,0.34600000000000003,31.7,66.5,0.47700000000000004,18.7,23.5,0.7959999999999999,12.1,32.1,44.2,22.2,8.7,5.3,15.4,20.6,105.7,2012
17,Atlanta Hawks,66,16165,40.0,88.0,0.45399999999999996,8.1,21.9,0.37,31.9,66.1,0.48200000000000004,16.9,22.8,0.74,10.7,34.0,44.7,24.4,8.8,5.0,15.2,19.4,104.9,2012
18,Chicago Bulls,66,15940,41.7,92.3,0.452,7.1,18.9,0.375,34.6,73.4,0.47100000000000003,17.0,23.5,0.722,15.5,36.6,52.0,25.8,7.7,6.6,15.6,19.2,107.4,2012
19,Dallas Mavericks,66,16065,39.2,88.4,0.44299999999999995,8.1,23.9,0.33899999999999997,31.1,64.5,0.48200000000000004,16.8,21.8,0.7709999999999999,10.9,35.2,46.1,22.5,9.2,5.5,15.1,20.0,103.3,2012
20,Memphis Grizzlies,66,15940,40.2,89.9,0.447,4.6,14.1,0.326,35.6,75.8,0.47,18.9,24.9,0.759,13.8,32.2,46.0,21.4,10.5,5.7,15.8,21.8,104.0,2012
21,Orlando Magic,66,15965,38.4,87.2,0.441,11.3,30.1,0.375,27.1,57.0,0.475,16.8,25.5,0.66,12.5,34.8,47.3,22.3,7.6,4.6,16.6,19.7,105.0,2012
22,Washington Wizards,66,15865,39.5,89.5,0.441,5.6,17.6,0.32,33.8,71.9,0.47,16.5,22.7,0.727,12.7,32.3,45.0,20.6,8.6,6.8,16.5,23.0,101.0,2012
23,Philadelphia 76ers,66,15915,41.6,92.8,0.44799999999999995,5.9,16.2,0.36200000000000004,35.7,76.6,0.466,14.9,20.1,0.742,11.8,36.1,47.9,24.4,8.8,5.7,12.4,19.5,103.9,2012
24,New Jersey Nets,66,15890,37.9,89.1,0.425,8.5,24.8,0.342,29.4,64.3,0.457,18.6,24.0,0.777,13.1,31.5,44.6,22.0,8.3,4.4,16.7,21.2,102.9,2012
25,Cleveland Cavaliers,66,15965,37.2,88.2,0.42200000000000004,7.2,21.0,0.34600000000000003,30.0,67.3,0.446,19.4,27.1,0.716,13.8,32.1,45.9,21.5,7.7,4.3,16.7,21.7,101.1,2012
26,Boston Celtics,66,15940,39.0,84.7,0.46,6.0,16.5,0.36700000000000005,33.0,68.3,0.483,16.9,21.8,0.778,8.5,34.2,42.7,25.9,8.3,6.0,16.3,21.9,101.0,2012
27,Detroit Pistons,66,15965,38.6,88.1,0.43799999999999994,5.3,15.4,0.34600000000000003,33.3,72.7,0.457,18.5,24.6,0.752,13.1,31.7,44.8,20.8,7.7,4.7,17.4,21.8,101.0,2012
28,Toronto Raptors,66,15965,38.2,86.8,0.44,6.1,18.1,0.34,32.0,68.7,0.467,18.3,23.7,0.77,11.7,34.9,46.7,23.3,7.2,5.4,16.9,25.8,100.8,2012
29,New Orleans Hornets,66,15940,39.2,87.0,0.451,4.4,13.2,0.33299999999999996,34.8,73.8,0.47200000000000003,18.0,23.8,0.757,12.3,33.9,46.3,23.3,8.3,5.4,17.5,22.6,100.9,2012
30,Charlotte Bobcats,66,15890,36.4,87.8,0.414,4.4,14.8,0.295,32.0,73.0,0.439,18.1,24.2,0.746,11.2,31.4,42.6,22.0,6.6,6.0,15.9,20.7,95.2,2012
1,Denver Nuggets,82,19705,40.1,84.3,0.47600000000000003,8.4,21.7,0.38799999999999996,31.6,62.6,0.506,23.7,31.0,0.765,10.1,33.8,43.9,23.1,7.7,4.5,14.7,21.9,112.3,2011
2,New York Knicks,82,19780,39.9,87.2,0.457,9.7,26.4,0.368,30.2,60.8,0.496,21.4,26.5,0.809,10.8,31.4,42.1,22.3,7.9,6.0,14.3,22.1,110.9,2011
3,Houston Rockets,82,19880,40.6,89.4,0.45399999999999996,8.7,23.6,0.36700000000000005,31.9,65.8,0.486,21.4,26.7,0.8009999999999999,12.3,32.7,45.0,25.1,7.4,4.8,14.2,21.0,111.3,2011
4,Phoenix Suns,82,20005,40.9,87.0,0.47,8.9,23.6,0.377,32.0,63.4,0.505,18.7,24.6,0.759,10.4,31.5,41.9,24.7,6.9,4.5,14.9,21.2,109.5,2011
5,Oklahoma City Thunder,82,20005,39.7,85.5,0.46399999999999997,6.3,18.2,0.34700000000000003,33.4,67.4,0.495,25.6,31.1,0.823,11.7,33.7,45.4,21.6,8.5,6.3,15.0,23.8,111.2,2011
6,San Antonio Spurs,82,19780,41.4,87.1,0.475,9.0,22.7,0.397,32.4,64.4,0.503,20.0,26.1,0.767,10.9,34.2,45.1,24.1,7.9,4.9,14.5,20.5,111.8,2011
7,Golden State Warriors,82,19830,41.5,90.0,0.461,8.7,22.3,0.392,32.8,67.6,0.484,16.5,21.6,0.7609999999999999,12.2,30.3,42.4,23.6,9.4,5.2,15.3,23.1,108.2,2011
8,Miami Heat,82,19780,40.5,84.1,0.48100000000000004,7.3,19.7,0.37,33.2,64.4,0.515,23.5,30.5,0.769,10.5,35.6,46.1,21.9,7.3,5.7,15.2,22.3,111.7,2011
9,Los Angeles Lakers,82,19830,41.7,90.1,0.46299999999999997,7.0,19.8,0.35200000000000004,34.7,70.3,0.494,20.6,26.4,0.779,13.2,34.9,48.1,24.0,8.0,5.6,14.3,20.7,111.0,2011
10,Minnesota Timberwolves,82,19780,38.9,88.2,0.441,7.4,19.7,0.376,31.5,68.5,0.45899999999999996,19.1,24.9,0.768,13.6,32.1,45.8,20.8,7.4,5.3,17.6,23.0,104.2,2011
11,Dallas Mavericks,82,19705,40.9,86.2,0.475,8.6,23.6,0.365,32.3,62.6,0.516,19.2,24.7,0.777,10.4,34.9,45.3,26.1,7.4,4.7,15.3,21.0,109.7,2011
12,Memphis Grizzlies,82,19880,42.0,89.3,0.47100000000000003,4.1,12.2,0.33399999999999996,38.0,77.2,0.49200000000000005,19.5,26.0,0.75,12.7,31.4,44.1,22.2,10.1,5.8,15.0,22.4,107.6,2011
13,Indiana Pacers,82,19780,38.5,86.9,0.442,7.5,21.2,0.354,31.0,65.8,0.47100000000000003,20.4,26.1,0.782,11.7,34.0,45.7,20.6,7.5,5.8,16.2,22.8,104.8,2011
14,Utah Jazz,82,19880,40.6,87.4,0.465,5.8,16.7,0.34600000000000003,34.9,70.7,0.493,21.1,27.3,0.7709999999999999,11.9,31.0,42.9,25.5,8.3,6.4,15.6,24.7,108.1,2011
15,Sacramento Kings,82,19855,39.8,88.6,0.449,5.4,16.2,0.335,34.4,72.4,0.475,18.5,25.2,0.7340000000000001,13.6,32.1,45.7,21.3,7.7,5.0,16.8,22.9,103.5,2011
16,Orlando Magic,82,19830,39.2,85.0,0.461,10.2,27.9,0.366,29.0,57.1,0.507,19.3,27.9,0.6920000000000001,11.5,35.5,47.0,21.7,7.3,5.1,16.2,21.8,107.9,2011
17,Toronto Raptors,82,19780,41.1,88.3,0.465,4.5,14.3,0.316,36.6,74.0,0.494,19.5,25.8,0.755,12.6,30.6,43.2,23.5,7.6,4.6,15.8,23.6,106.1,2011
18,Philadelphia 76ers,82,19930,41.0,89.0,0.461,5.8,16.4,0.355,35.2,72.6,0.485,18.7,24.3,0.77,11.2,33.9,45.0,24.4,8.2,4.7,14.0,20.9,106.6,2011
19,Los Angeles Clippers,82,19855,39.3,85.8,0.457,6.7,19.8,0.33799999999999997,32.6,66.1,0.493,20.1,28.5,0.7070000000000001,12.4,32.6,45.0,23.6,7.6,5.2,17.5,22.6,105.3,2011
20,Chicago Bulls,82,19830,40.7,88.2,0.462,6.8,19.0,0.361,33.9,69.3,0.489,20.0,26.9,0.743,13.0,35.5,48.5,24.5,7.9,6.3,15.6,22.0,108.3,2011
21,Washington Wizards,82,19930,39.1,88.4,0.44299999999999995,5.0,15.2,0.332,34.1,73.2,0.465,19.1,25.7,0.745,13.0,30.5,43.5,20.4,8.5,6.4,16.1,23.7,102.4,2011
