Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YR
13,Dallas Mavericks,82,19780,41.2,89.7,0.45899999999999996,11.3,32.7,0.344,29.9,57.0,0.525,17.2,22.1,0.777,10.2,34.8,45.1,24.7,7.9,4.5,13.1,23.4,110.7,2019
14,Portland Trail Blazers,82,19855,41.1,90.1,0.457,10.7,29.8,0.359,30.4,60.3,0.505,17.5,22.8,0.77,10.3,32.6,42.8,23.2,7.4,5.1,12.4,20.7,110.5,2019
15,Oklahoma City Thunder,82,19855,39.3,85.5,0.46,10.8,30.5,0.35600000000000004,28.5,55.0,0.517,17.6,23.2,0.7609999999999999,9.5,34.5,44.0,24.0,7.9,4.9,16.1,21.7,107.0,2019
16,Golden State Warriors,82,19805,39.8,89.7,0.444,11.5,33.1,0.34700000000000003,28.3,56.7,0.5,18.4,23.9,0.773,10.6,33.0,43.7,23.9,7.6,3.5,13.3,19.2,109.5,2019
17,Charlotte Hornets,82,19830,42.1,89.6,0.47,12.2,33.7,0.361,30.0,56.0,0.536,16.0,20.4,0.787,10.1,35.9,46.1,26.2,6.9,6.0,13.6,20.7,112.5,2019
18,Brooklyn Nets,82,19980,41.2,90.3,0.456,10.1,29.6,0.341,31.1,60.7,0.513,17.2,22.3,0.77,10.7,34.4,45.2,23.2,7.6,5.1,13.1,21.5,109.7,2019
19,Philadelphia 76ers,82,19805,40.8,89.5,0.455,10.1,29.4,0.342,30.7,60.1,0.511,18.4,24.0,0.768,9.8,32.7,42.5,22.9,7.6,4.0,12.5,21.7,110.0,2019
20,Chicago Bulls,82,19905,42.2,89.1,0.473,12.1,33.0,0.365,30.1,56.1,0.537,16.8,22.0,0.763,10.0,36.4,46.4,25.5,7.3,5.8,13.3,18.7,113.2,2019
21,Los Angeles Lakers,82,19780,40.4,89.5,0.452,11.4,32.7,0.349,29.0,56.8,0.511,17.2,21.9,0.784,10.9,34.3,45.2,24.1,8.0,5.0,13.7,20.1,109.5,2019
22,New York Knicks,82,19780,41.8,89.6,0.467,11.8,32.6,0.363,30.0,57.0,0.527,18.2,23.7,0.7659999999999999,10.7,36.7,47.5,25.6,7.4,5.6,13.2,20.8,113.7,2019
23,Minnesota Timberwolves,82,19830,41.7,89.2,0.467,12.6,33.3,0.37799999999999995,29.1,56.0,0.52,16.9,22.1,0.767,11.1,34.1,45.2,25.9,6.5,5.5,14.6,21.7,112.9,2019
24,Cleveland Cavaliers,82,19755,44.5,89.9,0.495,12.4,32.6,0.38,32.1,57.3,0.561,16.3,21.1,0.77,9.8,35.6,45.5,26.5,7.1,5.8,12.8,20.0,117.6,2019
25,Los Angeles Clippers,82,19830,40.7,89.1,0.457,10.1,29.5,0.34299999999999997,30.6,59.7,0.513,20.0,25.7,0.777,11.0,33.6,44.6,23.5,8.1,5.9,12.9,23.4,111.5,2019
26,Sacramento Kings,82,19730,40.9,87.6,0.466,11.6,33.5,0.348,29.2,54.2,0.54,18.2,23.6,0.77,10.8,35.6,46.4,23.9,7.3,5.0,15.4,20.7,111.5,2019
27,New Orleans Pelicans,82,19755,41.7,89.5,0.466,11.8,32.5,0.364,29.9,57.0,0.525,17.3,22.7,0.764,10.6,33.6,44.1,25.6,8.3,5.2,13.1,20.3,112.6,2019
28,Phoenix Suns,82,19880,41.8,86.8,0.48200000000000004,11.0,29.5,0.37200000000000005,30.9,57.4,0.5379999999999999,20.5,27.2,0.753,11.7,34.8,46.5,25.5,8.9,4.9,15.4,20.3,115.1,2019
29,Washington Wizards,82,19930,42.3,88.2,0.48,11.8,31.9,0.37,30.5,56.3,0.542,17.5,22.5,0.778,11.1,34.9,46.0,25.6,7.5,4.5,15.3,20.7,113.9,2019
30,Atlanta Hawks,82,19855,40.8,86.3,0.473,11.8,32.8,0.359,29.0,53.5,0.5429999999999999,20.5,27.0,0.758,10.1,33.8,43.9,25.6,9.4,5.2,14.4,21.1,113.9,2019
